Data,Viral Load Result,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Jul-24,397,397,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Oct-23,148,148,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Nov-23,160,160,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Dec-23,139,139,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jan-24,163,163,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Feb-24,169,169,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Mar-24,150,150,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Apr-24,165,165,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,May-24,166,166,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jun-24,174,174,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jul-24,179,179,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Oct-23,134,134,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Nov-23,140,140,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Dec-23,112,112,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jan-24,134,134,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Feb-24,133,133,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Mar-24,124,124,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Apr-24,128,128,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,May-24,128,128,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jun-24,122,122,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jul-24,134,134,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Oct-23,486,486,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Nov-23,468,468,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Dec-23,472,472,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Jan-24,491,491,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Feb-24,495,495,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Mar-24,468,468,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Apr-24,498,498,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,May-24,489,489,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Jun-24,453,453,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,an 302 Artillery Regiment Medical Reception Station Onitsha,Jul-24,455,455,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Oct-23,129,129,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Nov-23,128,128,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Dec-23,132,132,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Jan-24,145,145,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Feb-24,147,147,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Mar-24,152,152,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Apr-24,159,159,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,May-24,160,160,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Jun-24,157,157,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba 33 Brigade Medical Center Shadawanka,Jul-24,157,157,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Oct-23,66,66,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Nov-23,66,66,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Dec-23,66,66,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jan-24,72,72,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Feb-24,72,72,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Mar-24,69,69,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Apr-24,72,72,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,May-24,71,71,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jun-24,69,69,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jul-24,75,75,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Oct-23,3525,3525,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Nov-23,3575,3575,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Dec-23,2842,2842,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Jan-24,3517,3517,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Feb-24,2994,2994,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Mar-24,2805,2805,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Apr-24,3488,3488,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,May-24,3525,3525,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Jun-24,3168,3168,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,be 161 Nigerian Airforce Hospital Makurdi,Jul-24,3123,3123,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Oct-23,226,226,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Nov-23,230,230,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Dec-23,103,103,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Jan-24,103,103,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Feb-24,103,103,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Mar-24,72,72,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Apr-24,72,72,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,May-24,120,120,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Jun-24,78,78,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,bo 7 Division Medical Services and Hospital Maiduguri,Jul-24,209,209,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Oct-23,738,738,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Nov-23,731,731,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Dec-23,594,594,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Jan-24,626,626,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Feb-24,618,618,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Mar-24,550,550,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Apr-24,607,607,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,May-24,663,663,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Jun-24,712,712,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,cr Nigerian Navy Reference Hospital Calabar,Jul-24,722,722,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Oct-23,1255,1255,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Nov-23,1137,1137,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Dec-23,1227,1227,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Jan-24,1116,1116,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Feb-24,1052,1052,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Mar-24,982,982,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Apr-24,928,928,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,May-24,1215,1215,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Jun-24,1259,1259,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,de Nigerian Navy Hospital Warri,Jul-24,1374,1374,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Oct-23,251,251,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Nov-23,224,224,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Dec-23,85,85,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Jan-24,199,199,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Feb-24,200,200,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Mar-24,167,167,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Apr-24,123,123,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,May-24,122,122,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Jun-24,279,279,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ed Military Hospital Benin,Jul-24,19,19,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Oct-23,1263,1263,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Nov-23,1392,1392,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Dec-23,1175,1175,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Jan-24,1444,1444,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Feb-24,1455,1455,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Mar-24,1371,1371,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Apr-24,1495,1495,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,May-24,1498,1498,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Jun-24,1399,1399,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,en 82 Division Medical Services and Hospital Enugu,Jul-24,1518,1518,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Oct-23,302,302,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Nov-23,301,301,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Dec-23,271,271,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Jan-24,292,292,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Feb-24,291,291,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Mar-24,291,291,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Apr-24,308,308,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,May-24,318,318,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Jun-24,312,312,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc 063 Nigerian Airforce Hospital Abuja,Jul-24,322,322,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Oct-23,1484,1484,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Nov-23,1511,1511,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Dec-23,1044,1044,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Jan-24,1310,1310,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Feb-24,1480,1480,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Mar-24,1379,1379,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Apr-24,1325,1325,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,May-24,1366,1366,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Jun-24,1394,1394,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Defence Headquarters Medical Center Abuja,Jul-24,1457,1457,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Oct-23,41,41,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Nov-23,44,44,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Dec-23,28,28,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Jan-24,49,49,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Feb-24,50,50,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Mar-24,43,43,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Apr-24,59,59,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,May-24,59,59,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Jun-24,45,45,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,fc Guards Brigade Medical Center Mambilla Barracks Abuja,Jul-24,71,71,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Oct-23,856,856,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Nov-23,872,872,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Dec-23,888,888,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Jan-24,773,773,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Feb-24,833,833,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Mar-24,707,707,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Apr-24,752,752,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,May-24,759,759,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Jun-24,651,651,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,im 34 Brigade Medical Centre Owerri,Jul-24,870,870,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Oct-23,3098,3098,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Nov-23,3174,3174,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Dec-23,3084,3084,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Jan-24,3224,3224,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Feb-24,3224,3224,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Mar-24,2760,2760,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Apr-24,3094,3094,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,May-24,3379,3379,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Jun-24,3308,3308,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 44 Nigerian Army Reference Hospital Kaduna,Jul-24,3013,3013,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Oct-23,381,381,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Nov-23,387,387,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Dec-23,314,314,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Jan-24,316,316,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Feb-24,286,286,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Mar-24,281,281,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Apr-24,358,358,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,May-24,381,381,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,kd 461 Nigerian Airforce Hospital Kaduna,Jun-24,396,396,1,1,1,1
