Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Jun-24,32,32,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Jul-24,34,34,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Oct-23,49,49,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Nov-23,55,55,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Dec-23,73,73,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Jan-24,53,53,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Feb-24,59,59,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Mar-24,40,40,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Apr-24,57,57,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,May-24,45,45,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Jun-24,41,41,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Jul-24,78,78,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Oct-23,53,53,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Nov-23,48,48,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Dec-23,48,48,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jan-24,85,85,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Feb-24,43,43,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Mar-24,61,61,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Apr-24,53,53,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,May-24,68,68,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jun-24,58,58,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jul-24,105,105,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Oct-23,125,125,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Nov-23,102,102,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Dec-23,66,66,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Jan-24,90,90,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Feb-24,121,121,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Mar-24,102,102,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Apr-24,107,107,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,May-24,105,105,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Jun-24,89,89,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Jul-24,182,182,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Oct-23,82,82,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Nov-23,84,84,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Dec-23,79,79,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Jan-24,80,80,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Feb-24,76,76,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Mar-24,82,82,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Apr-24,78,78,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,May-24,94,94,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Jun-24,80,80,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Jul-24,80,80,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Oct-23,149,149,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Nov-23,115,115,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Dec-23,74,74,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Jan-24,111,111,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Feb-24,70,70,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Mar-24,64,64,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Apr-24,85,85,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,May-24,91,91,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Jun-24,75,75,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,Jul-24,127,127,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Oct-23,234,234,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Nov-23,257,257,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Dec-23,221,221,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Jan-24,233,233,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Feb-24,292,292,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Mar-24,489,489,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Apr-24,275,275,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,May-24,457,457,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Jun-24,474,474,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Jul-24,179,179,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Oct-23,34,34,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Nov-23,30,30,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Dec-23,28,28,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Jan-24,20,20,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Feb-24,27,27,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Mar-24,23,23,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Apr-24,20,20,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,May-24,31,31,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Jun-24,29,29,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,Jul-24,20,20,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Oct-23,175,175,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Nov-23,219,219,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Dec-23,256,256,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Jan-24,224,224,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Feb-24,216,216,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Mar-24,253,253,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Apr-24,189,189,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,May-24,200,200,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Jun-24,173,173,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Jul-24,242,242,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Oct-23,57,57,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Nov-23,54,54,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Dec-23,26,26,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Jan-24,18,18,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Feb-24,35,35,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Mar-24,24,24,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Apr-24,22,22,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,May-24,31,31,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,Jun-24,37,37,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Oct-23,93,93,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Nov-23,121,121,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Dec-23,80,80,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Jan-24,181,181,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Feb-24,183,183,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Mar-24,164,164,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Apr-24,139,139,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,May-24,120,120,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Jun-24,167,167,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,Jul-24,188,188,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Oct-23,23,23,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Nov-23,12,12,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Dec-23,26,26,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Jan-24,22,22,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Feb-24,17,17,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Mar-24,23,23,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Apr-24,11,11,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,May-24,47,47,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Jun-24,25,25,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,Jul-24,78,78,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Oct-23,21,21,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Nov-23,27,27,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Dec-23,21,21,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Jan-24,23,23,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Feb-24,22,22,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Mar-24,22,22,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Apr-24,9,9,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,May-24,27,27,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Jun-24,22,22,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Jul-24,24,24,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,Oct-23,37,37,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,Nov-23,30,30,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,Dec-23,21,21,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,Jan-24,57,57,1,1,1,1
