Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,October 2023,55.0,55.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,November 2023,112.0,112.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,December 2023,88.0,88.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,January 2024,71.0,71.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,February 2024,49.0,49.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,March 2024,70.0,70.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,April 2024,82.0,82.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,May 2024,53.0,53.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,June 2024,82.0,82.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,October 2023,126.0,126.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,November 2023,83.0,83.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,December 2023,99.0,99.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,January 2024,112.0,112.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,February 2024,109.0,109.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,March 2024,86.0,86.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,April 2024,120.0,120.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,May 2024,133.0,133.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,June 2024,86.0,86.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,October 2023,73.0,73.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,November 2023,110.0,110.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,December 2023,86.0,86.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,January 2024,39.0,39.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,February 2024,37.0,37.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,March 2024,324.0,324.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,April 2024,57.0,57.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,May 2024,92.0,92.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,June 2024,30.0,30.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,October 2023,141.0,141.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,November 2023,150.0,150.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,December 2023,141.0,141.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,January 2024,179.0,179.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,February 2024,107.0,107.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,March 2024,84.0,84.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,April 2024,134.0,134.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,May 2024,151.0,151.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,June 2024,104.0,104.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,October 2023,113.0,113.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,November 2023,125.0,125.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,December 2023,99.0,99.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,January 2024,111.0,111.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,February 2024,117.0,117.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,March 2024,132.0,132.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,April 2024,353.0,353.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,May 2024,252.0,252.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,June 2024,200.0,200.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,October 2023,36.0,36.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,November 2023,33.0,33.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,December 2023,36.0,36.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,January 2024,32.0,32.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,February 2024,33.0,33.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,March 2024,27.0,27.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,April 2024,30.0,30.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,May 2024,40.0,40.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,June 2024,32.0,32.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,October 2023,49.0,49.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,November 2023,55.0,55.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,December 2023,73.0,73.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,January 2024,53.0,53.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,February 2024,59.0,59.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,March 2024,40.0,40.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,April 2024,57.0,57.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,May 2024,45.0,45.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,June 2024,41.0,41.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,October 2023,53.0,53.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,November 2023,48.0,48.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,December 2023,48.0,48.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,January 2024,85.0,85.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,February 2024,43.0,43.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,March 2024,61.0,61.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,April 2024,53.0,53.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,May 2024,68.0,68.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,June 2024,58.0,58.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,October 2023,125.0,125.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,November 2023,102.0,102.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,December 2023,66.0,66.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,January 2024,90.0,90.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,February 2024,121.0,121.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,March 2024,102.0,102.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,April 2024,107.0,107.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,May 2024,105.0,105.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,June 2024,89.0,89.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,October 2023,82.0,82.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,November 2023,84.0,84.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,December 2023,79.0,79.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,January 2024,80.0,80.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,February 2024,76.0,76.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,March 2024,82.0,82.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,April 2024,78.0,78.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,May 2024,94.0,94.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,June 2024,80.0,80.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,October 2023,149.0,149.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,November 2023,115.0,115.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,December 2023,74.0,74.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,January 2024,111.0,111.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,February 2024,70.0,70.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,March 2024,64.0,64.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,April 2024,85.0,85.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,May 2024,91.0,91.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 105 Composite Group Nigerian Airforce Medical Centre Maiduguri,June 2024,75.0,75.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,October 2023,234.0,234.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,November 2023,257.0,257.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,December 2023,221.0,221.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,January 2024,233.0,233.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,February 2024,292.0,292.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,March 2024,489.0,489.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,April 2024,275.0,275.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,May 2024,457.0,457.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,June 2024,474.0,474.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,October 2023,34.0,34.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,November 2023,30.0,30.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,December 2023,28.0,28.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,January 2024,20.0,20.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,February 2024,27.0,27.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,March 2024,23.0,23.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,April 2024,20.0,20.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,May 2024,31.0,31.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr 13 Brigade Medical Centre Calabar,June 2024,29.0,29.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,October 2023,175.0,175.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,November 2023,219.0,219.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,December 2023,256.0,256.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,January 2024,224.0,224.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,February 2024,216.0,216.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,March 2024,253.0,253.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,April 2024,189.0,189.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,May 2024,200.0,200.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,June 2024,173.0,173.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,October 2023,57.0,57.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,November 2023,54.0,54.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,December 2023,26.0,26.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,January 2024,18.0,18.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,February 2024,35.0,35.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,March 2024,24.0,24.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,April 2024,22.0,22.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,May 2024,31.0,31.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Naval Medical Center Sapele,June 2024,37.0,37.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,October 2023,93.0,93.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,November 2023,121.0,121.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,December 2023,80.0,80.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,January 2024,181.0,181.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,February 2024,183.0,183.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,March 2024,164.0,164.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,April 2024,139.0,139.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,May 2024,120.0,120.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,de Nigerian Navy Hospital Warri,June 2024,167.0,167.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,October 2023,23.0,23.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,November 2023,12.0,12.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,December 2023,26.0,26.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,January 2024,22.0,22.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,February 2024,17.0,17.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,March 2024,23.0,23.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,April 2024,11.0,11.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,May 2024,47.0,47.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 107 Air Maritime Group Medical Centre Benin,June 2024,25.0,25.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,October 2023,21.0,21.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,November 2023,27.0,27.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,December 2023,21.0,21.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,January 2024,23.0,23.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,February 2024,22.0,22.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,March 2024,22.0,22.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,April 2024,9.0,9.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,May 2024,27.0,27.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed 4 Brigade Medical Centre Benin,June 2024,22.0,22.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,October 2023,37.0,37.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,November 2023,30.0,30.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,December 2023,21.0,21.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ed Military Hospital Benin,January 2024,57.0,57.0,1.0,1.0,1,1
